CO,s1m1,s1m2,s2m1,s2m2,s3m1,s3m2
Raynor,MasteryRaynorResearchCost,MasteryRaynorDropPodHaste,MasteryRaynorHyperionCooldown,MasteryRaynorDuskWingCooldown,MasteryRaynorMedicSecondaryHeal,MasteryRaynorMechAttackSpeed
Swann,MasterySwannConcentratedBeam,MasterySwannCombatDrop,MasterySwannImmortalityProtocol,MasterySwannBuildingHealth,MasterySwannVespeneHarvesterCost,MasterySwannLaserDrillBuildTime
Kerrigan,MasteryKerriganEnergyRegen,MasteryKerriganAutoAttackDamage,MasteryKerriganArmyGasCost,MasteryKerriganImmobilizationWaveDamage,MasteryKerriganResearchSpeedandCost,MasteryKerriganPrimarySpeedDamage
Zagara,MasteryZagaraHealthAndEnergyRegen,MasteryZagaraAutoAttackDamage,MasteryZagaraBanelingsDamage,MasteryZagaraZerglingDodgeChance,MasteryZagaraRoachDropDamageAndHealth,MasteryZagaraMassFrenzySpeedBoost
Abathur,MasteryAbathurToxicNestDamageAndRespawn,MasteryAbathurMendHeal,MasteryAbathurSymbioteCarapace,MasteryAbathurDoubleBiomass,MasteryAbathurToxicNestCharge,MasteryAbathurTechFastBuild
Artanis,MasteryArtanisShieldOvercharge,MasteryArtanisGuardianShellHeal,MasteryArtanisEnergyRegenCooldown,MasteryArtanisSoAPowerFieldHaste,MasteryArtanisChronoBoost,MasteryArtanisStartingAndMaxSoAEnergy
Vorazun,MasteryVorazunDarkPylonRadius,MasteryVorazunBlackHoleDuration,MasteryVorazunShadowGuardDuration,MasteryVorazunTimeStopHaste,MasteryVorazunChronoBoostSpeed,MasteryVorazunStartingAndMaxSoAEnergy
Karax,MasteryKaraxUnitVital,MasteryKaraxBuildingVital,MasteryKaraxRepairBeamHeal,MasteryKaraxSoAChronoRegen,MasteryKaraxChronoBoostSpeed,MasteryKaraxStartingAndMaxSoAEnergy
Alarak,MasteryAlarakAutoAttackDamage,MasteryAlarakUnitAttackSpeed,MasteryAlarakEmpowerMeSlavesDuration,MasteryAlarakDeathFleetCDR,MasteryAlarakOverchargeShieldsDamage,MasteryAlarakChronoBoost
Nova,MasteryNovaNukeAndHoloDecoyCooldown,MasteryNovaGriffinCost,MasteryNovaPrimaryAbilityImprovement,MasteryNovaArmyAttackSpeed,MasteryNovaEnergyRegen,MasteryNovaArmyOOCRegenSpeed
Stukov,MasteryStukovVolatileChance,MasteryStukovInfestStructureCDR,MasteryStukovAleksanderCDR,MasteryStukovApocaliskCDR,MasteryStukovTimedLife,MasteryStukovMechAttackSpeed
Fenix,MasteryFenixSuitAttackSpeed,MasteryFenixSuitEnergyRegen,MasteryFenixChampionAttackSpeed,MasteryFenixChampionLifeShieldBuff,MasteryFenixChronoBoostExtra,MasteryFenixExtraStartingSupply
Dehaka,MasteryDehakaConsumeHealing,MasteryDehakaConsumeDuration,MasteryDehakaPrimalWurmCDR,MasteryDehakaBossTimedLife,MasteryDehakaGeneMutation,MasteryDehakaAttackSpeed
Horner,MasteryHornerBomberRadius,MasteryHornerBetterDeathRattle,MasteryHornerMSOBonus,MasteryHornerDoubleSalvageChance,MasteryHornerAirStrikeDistance,MasteryHornerMagMineUpgrades
Tychus,MasteryTychusCommanderAttackSpeed,MasteryTychusGrenadeCooldown,MasteryTychusUpgradesIncrease,MasteryTychusHeroCooldown,MasteryTychusMedivacBuff,MasteryTychusOdinCooldown
Zeratul,MasteryZeratulZeratulAttackSpeed,MasteryZeratulCombatUnitAttackSpeed,MasteryZeratulArtifactFragmentSpawnRate,MasteryZeratulSupportCalldownCooldownReduction,MasteryZeratulLegendaryLegionCost,MasteryZeratulAvatarCooldown
Stetmann,MasteryStetmannUpgradeResearchCost,MasteryStetmannGaryAbilityCooldown,MasteryStetmannStetzoneBonuses,MasteryStetmannMaximumEgonergyPool,MasteryStetmannDeployStetelliteCooldown,MasteryStetmannStructureMorphRate
Mengsk,MasteryMengskTrooperImperialMandateRegeneration,MasteryMengskRoyalGuardImperialMandateRegeneration,MasteryMengskTopPanelPower,MasteryMengskRoyalGuardCost,MasteryMengskStartingImperialMandate,MasteryMengskRoyalGuardExperienceGainRate
