Key,Value
Random,Applies a random Mutator that has not yet been chosen for this game.
Walking Infested,Enemy units spawn Infested Terran upon death in numbers according to the unit&apos;s life.
Outbreak,Enemy Infested Terrans spawn continuously around the map.
Darkness,Previously explored areas remain blacked out on the minimap while outside of player vision.
Time Warp,Enemy Time Warps are periodically deployed throughout the map.
Speed Freaks,Enemy units have increased movement speed.
Mag-nificent,Mag Mines are deployed throughout the map at the start of the mission.
Mineral Shields,Mineral clusters at player bases are periodically encased in a shield which must be destroyed for gathering to continue.
Barrier,Enemy units and structures gain a temporary shield upon the first time they take damage.
Avenger,"Enemy units gain increased attack speed, movement speed, armor, life, and life-regeneration when nearby enemy units die."
Evasive Maneuvers,Enemy units teleport a short distance away upon taking damage.
Scorched Earth,Enemy units set the terrain on fire upon death.
Lava Burst,Lava periodically bursts from the ground at random locations and deals damage to player air and ground units.
Self Destruction,Enemy units explode and deal damage to nearby player units upon death.
Aggressive Deployment,Additional enemy units are periodically deployed onto the battlefield.
Alien Incubation,All enemy units spawn Broodlings upon death.
Laser Drill,An enemy Laser Drill constantly attacks player units within enemy vision.
Long Range,Enemy units and structures have increased weapon and vision range.
Shortsighted,Player units and structures have reduced vision range.
Mutually Assured Destruction,Enemy Hybrid units detonate a Nuke upon death.
We Move Unseen,All enemy units are permanently cloaked.
Nap Time,Player worker units periodically fall asleep and must be awoken via the Wake Up ability on their command card.
Slim Pickings,"Player worker units gather resources at a reduced rate, but resource pickups spawn throughout the map."
Concussive Attacks,Player units are slowed by all enemy attacks.
Stone Zealots,The enemy has deployed Stone Zealots.
Just Die!,Enemy units are automatically revived upon death.
Temporal Field,Enemy Temporal Fields are periodically deployed throughout the map.
Void Rifts,Void Rifts periodically appear in random locations and spawn enemy units until destroyed.
Twister,"Tornadoes move across the map, damaging and knocking back player units in their path."
Orbital Strike,Enemy Orbital Strikes are periodically fired throughout the map.
Purifier Beam,An enemy Purifier Beam moves across the map toward nearby player units.
Blizzard,"Storm clouds move across the map, damaging and freezing player units in their path."
Fear,Player units will occasionally stop attacking and run around in fear upon taking damage.
Photon Overload,All enemy structures attack nearby hostile units.
Minesweeper,Groups of Widow Mines and Spider Mines are buried throughout the battlefield.
Chaos Studios,Mutators are chosen at random and periodically cycle throughout the mission.
Void Reanimators,"Void Reanimators wander the battlefield, bringing your enemies back to life."
Going Nuclear,Nukes are launched at random throughout the map.
Life Leech,Enemy units and structures steal life or shields whenever they do damage.
Power Overwhelming,All enemy units have energy and use random abilities.
Micro Transactions,Giving commands to your units costs resources based on the unit&apos;s cost.
Missile Command,Endless missile bombardments target your structures and must be shot down throughout the mission.
Vertigo,Your camera randomly changes positions.
Undying Evil,"A monster is deployed against you.  Each time you kill it, it will gather more power and return even stronger."
Polarity,Each enemy unit is immune to either your units or your ally&apos;s units.
Transmutation,Enemy units have a chance to transform into more powerful units whenever they deal damage.
Afraid of the Dark,Vision provided by all sources is extremely limited except when in view of your camera.
Trick or Treat,"Civilians visit your Candy Bowl looking for treats, which are generated by spending minerals. If no treats are available, the civilians transform into random enemy units."
Turkey Shoot,Supply can only be generated by killing turkeys that wander throughout the map. Doing so may anger the turkeys that remain.
Sharing Is Caring,"Supply is shared between you and your partner, and units from both armies contribute to your combined supply cap."
