Key,Value
AfraidOfTheDark,Extreme Caution
AllEnemiesCloaked,We Move Unseen
Avenger,Avenger
Barrier,Barrier
BlackFog,Darkness
BlizzConChallenge,BlizzCon Challenge
Blizzard,Blizzard
Bloodlust,Bloodlust
BoomBots,Boom Bots
ConcussiveAttacks,Concussive Attacks
CycleRandom,Chaos Studios
DamageBounce,Diffusion
DamageReflect,Double-Edged
DarkMirror,Dark Mirror
DeathAOE,Self Destruction
DeathPull,Fatal Attraction
DropPods,Aggressive Deployment
Endurance,Endurance
Entomb,Mineral Shields
Evolve,Transmutation
Fear,Fear
FireFight,Scorched Earth
Fireworks,Fireworks
FoodHunt,Turkey Shoot
GiftFight,Gift Exchange
GreatWall,Great Wall
HardenedWill,Hardened Will
HeroesFromTheStorm,Heroes from the Storm
HeroesfromtheStormOld,Heroes from the Storm (old)
HybridNuke,Mutually Assured Destruction
ICollectIChange,"I Collect, I Change"
InfestationStation,Infestation Station
InfestedTerranSpawner,Outbreak
Inspiration,Inspiration
Insubordination,Insubordination
JustDie,Just Die!
KillBots,Kill Bots
KillKarma,Naughty List
LaserDrill,Laser Drill
LavaBurst,Lava Burst
LazyWorkers,Nap Time
LevelPlayingField,Level Playing Field
LifeLeech,Life Leech
LongRange,Long Range
Magnificent,Mag-nificent
Matryoshka,Matryoshka
MissileBarrage,Missile Command
MomentOfSilence,Moment Of Silence
Mothership,Mothership
Necronomicon,Necronomicon
NoResources,Slim Pickings
NuclearMines,Nuclear Mines
Nukes,Going Nuclear
OldTimes,Old Times
OopsAllCasters,Power Overwhelming
OrbitalStrike,Orbital Strike
OrderCosts,Micro Transactions
PhotonOverload,Photon Overload
Plague,Black Death
Polarity,Polarity
Propagate,Propagators
PurifierBeam,Purifier Beam
Random,Random
Reanimators,Void Reanimators
RedEnvelopes,Lucky Envelopes
ReducedVision,Shortsighted
RepulsiveField,Repulsive Field
RipFieldGenerators,Rip Field Generators
Shapeshifters,Shapeshifters
SharedSupply,Sharing Is Caring
SideStep,Evasive Maneuvers
Sluggish,Sluggishness
SpawnBroodlings,Alien Incubation
SpiderMines,Minesweeper
StoneZealots,Stone Zealots
StructureSteal,Eminent Domain
SupremeCommander,Supreme Commander
TemporalField,Temporal Field
TheMist,The Mist
TheUsualSuspects,The Usual Suspects
TimeWarp,Time Warp
Tornadoes,Twister
TrickOrTreat,Trick or Treat
UberDarkness,Afraid of the Dark
UndyingEvil,Undying Evil
UnitSpeed,Speed Freaks
Vertigo,Vertigo
VoidRifts,Void Rifts
WalkingInfested,Walking Infested
